Plot,FT,Direction,PME,TotalRootBiomass,PercentNecro,SRL,SRA,D,RTD,Tips,rN,rC,rC_percent,rN_percent,rAl,rCa,rFe,rK,rMg,rP,BA,BA_ECM,rC_N,rN_P,rC_P
W02,Mature secondary,NW,52.287671704479,1.79,0.327374301675978,31.6517914746544,327.371198156682,0.35005,0.32085400211478,1.92088069672776,18.4,460,46,1.84,9.81384083044983,4.79377162629758,5.65121107266436,1.18754325259516,1.28512110726644,0.398615916955017,18.978164875,0,29.142381348876,102.111899801587,2975.78392427606
W02,Mature secondary,NE,33.8003924673804,1.463,0,28.9887657450077,308.947311827957,0.36055,0.305018176027412,2.09328950583057,18.5,449.6,44.96,1.85,6.30715025906736,5.15316062176166,3.91834196891192,1.94611398963731,1.71357512953368,0.666528497409326,18.978164875,0,28.3295451988208,61.3996896099857,1739.42528199966
W02,Mature secondary,SW,38.1621075099703,0.831,0.270758122743682,51.5363684210526,456.581922196796,0.3071,0.27311445443364,1.78210321174544,19.2,509.7,50.97,1.92,4.67368421052632,3.66315789473684,3.04736842105263,1.24736842105263,NA,NA,18.978164875,0,30.9455661948377,NA,NA
W02,Mature secondary,SE,33.1771147510556,1.931,0.577938891765924,32.8997185354691,341.85354691075503,0.3537,0.262397798384834,2.50625332736356,23.5,487.2,48.72,2.35,4.74162162162162,2.0172972972973,2.91891891891892,0.972972972972973,NA,0.518918918918919,18.978164875,0,24.1670947968891,100.180115327381,2421.0623438801
W03,Mature secondary,C,43.1819317443661,2.219,0.107255520504732,14.5049801587302,274.980158730159,0.62375,0.188083349018479,1.92511807962965,24.2,493.5,49.35,2.42,4.41709741550696,2.95347912524851,2.04214711729622,2.52763419483101,2.87952286282306,0.475944333996024,16.43135425,0,23.7715127201162,112.479240362812,2673.80169303358
W03,Mature secondary,NW,23.013199315182,1.873,0.187399893219434,19.4420701754386,200.694736842105,0.3646,0.43443895733632,3.78288423163371,18.9,523.3,52.33,1.89,5.23586833144154,1.74211123723042,2.35913734392736,2.0744608399546,1.47105561861521,0.283314415437003,16.43135425,0,32.2755728251149,147.572794471154,4762.99647495944
W03,Mature secondary,NE,10.0472193074502,4.62,0.250865800865801,18.5333310185185,214.949652777778,0.4067,0.346362545018007,2.11964087141796,27.2,463.5,46.35,2.72,8.77888563049853,4.26627565982405,3.76187683284457,3.47448680351906,1.2574780058651,0.380058651026393,16.43135425,0,19.8639614047118,158.318421516755,3144.8310146637
W03,Mature secondary,SW,28.8130362323313,5.315,0.116650987770461,12.154402872777,156.494528043776,0.4396,0.418442880274941,2.36235371635245,27.9,475.4,47.54,2.79,8.80861056751468,2.33424657534247,3.58473581213307,2.89549902152642,0.789041095890411,0.273581213307241,16.43135425,0,19.8627786283235,225.595847639485,4480.96038113208
W03,Mature secondary,SE,31.1647429171039,3.129,0.164269734739533,26.2047208333333,303.48375,0.40065,0.234525327163173,1.92687965233203,24.1,470.8,47.08,2.41,5.93419740777667,5.10269192422732,2.35333998005982,3.10468594217348,2.6321036889332,0.500099700897308,16.43135425,0,22.7721711851466,106.604028679654,2427.60519011935
W08,Mature secondary,C,26.6732673267327,2.135,0.123653395784543,31.3651722222222,382.172222222222,0.4133,0.221598790415618,1.92855798377279,16.9,428.5,42.85,1.69,10.9721261444557,4.25798575788403,3.36683621566633,2.83702950152594,1.95564598168871,0.534689725330621,20.339774375,0,29.5562376520552,69.9194551804741,2066.55603381631
W08,Mature secondary,NW,43.3821782178218,2.509,0.0282981267437226,18.567,256.092,0.4633,0.288689761847614,1.83870737814434,12.6,421.4,42.14,1.26,10.3753604193971,3.9916120576671,3.34049803407602,3.27129750982962,1.34469200524246,0.479685452162516,20.339774375,0,38.9860301600518,58.1068278688524,2265.35454380002
W08,Mature secondary,NE,10.9327774882751,1.86,0.028494623655914,37.9480538847118,407.212531328321,0.366,0.255234389475635,2.28617985106351,16.3,403.7,40.37,1.63,23.4888438133874,5.64705882352941,7.49452332657201,1.79391480730223,1.01014198782961,0.834888438133874,20.339774375,0,28.8706241731074,43.1889183326389,1246.89102962465
W08,Mature secondary,SW,9.92739273927392,2.417,0.112122465866777,23.6760261904762,268.703928571429,0.391,0.359757501342951,2.03475907039863,11,421.2,42.12,1.1,7.33229268292683,5.12429268292683,2.7219512195122,2.90341463414634,0.906146341463415,0.437853658536585,20.339774375,0,44.6355309968965,55.5746673669468,2480.60478789957
